company_name,offerings_raw,homepage,email,updated_services,contact_person
Arbeitstherapeutische Werkstätte Mannheim gGmbH,"Auftragsarbeiten:
METALL: Metallmontage
KUNSTSTOFF: Kunststoffmontage
ELEKTRO: Elektromontage, Kabelkonfektionierung
RECYCLING: Elektro-/Elektronik-Recycling, Demontagearbeiten
DRUCK/GRAFIK: Druckerei, Druckweiterverarbeitung, Grafische Gestaltung, 
Fotokopieren
EDV-/BÜRODIENSTLEISTUNGEN: Digitale Archivierung
MAILING UND VERSANDARBEITEN
VERPACKUNGSARBEITEN
GARTEN-/LANDSCHAFTSPFLEGE: Garten-und Grundstückspflege
SONSTIGE LEISTUNGEN: Aktenvernichtung, Fahrradwerkstatt, Logistische 
Leistungen, Ku",,,,
Unknown,,http://www.atwmannheim.de,info@atwmannheim.de,,
Unknown,"Auftragsarbeiten:
METALL: Trennen (z. B. Sägezuschnitte, Bohren, Drehen, Fräsen, 
Flachschleifen), Fügen (z. B. Schweißen)
HOLZ: Einzel- und Serienteile, Palettenherstellung (Spezialpaletten), 
Möbelfertigung (Sonderanfertigung von Möbeln)
MONTAGE: Mechanische und elektromechanische Komponenten
MAILING UND VERSANDARBEITEN: Postversand: Falzen, Kuverieren, 
Adressbearbeitung und Katalogversand
VERPACKUNGS- UND KONFEKTIONIERUNGSARBEITEN: Kleinmontage, 
Verpackung, Folienverpackung, Schachtelverpac",,,,
Unknown,,http://www.gemeindediakonie-mannheim.de/arbeiten/unsere-werkstaetten/allgemeine-informationen,info@diakoniewerkstatt.de,,
Rhein-Neckar-Werkstätten,"Auftragsarbeiten:
METALL: Trennen, Fügen (z. B. Schweißarbeiten), Metallmontage, 
Spanabhebende Fertigung, CNC-Fertigung
KUNSTSTOFF: Kunststoffbearbeitung, Kunststoffmontage
ELEKTRO: Elektromontage, Kabelkonfektionierung, Crimparbeiten, Löt- u. 
Endlötarbeiten, Verdrahtung Schaltkästen, Verarbeitung elektrostatische 
gefährdeter Bauteile (ESD)
TEXTIL: Näherei
lebensART: Die Nähwerkstatt lebensART stellt mit viel Liebe zum Detail 
wunderschöne Produkte aus hochwertigen Designerstoffen her (siehe:",,,,
Unknown,"Auftragsarbeiten:
HOLZ: Holzbearbeitung, Holzmontage, Lackierung
ELEKTRO: Elektro-, Ventilmontage, Kabelkonfektionierung
EDV-/BÜRODIENSTLEISTUNGEN: Daten- und Texterfassung, Datenpflege, EDV-Dienstleistungen auf Anfrage
MAILING UND VERSANDARBEITEN: Serienbrieferstellung, Massenversand, Werbemittelversand
MONTAGE und VERPACKUNGSARBEITEN: Kleinmontage, Konfektionierung, Kommissionierung
HAUSWIRTSCHAFT: Catering/Betriebsversorgung/Gemeinschaftsverpflegung (siehe: www.geschmackwerkstatt.de)",https://www.rnw.de,info@rnw.de,,
Unknown,,https://www.lebenshilfe-heidelberg.de/heidelberger-werkstaetten/,info@hd-werkstaetten.de,,
Kurpfalz-Werkstatt Lebenshilfe gGmbH,"Auftragsarbeiten:
METALL: Fügen, Metallmontage
KUNSTSTOFF: Kunststoffmontage
ELEKTRO: Elektromontage, Kabelkonfektionierung
DRUCK/GRAFIK: Druckerei, Grafische Gestaltung, Fotokopieren, Bedrucken 
von Gegenständen (z.B. Textildruck)
EDV-/BÜRODIENSTLEISTUNGEN: Büroservice
VERPACKUNGSARBEITEN: z.B. Kleinmontagen, Konfektionierung, Sortier-, 
Wiege- und Zählarbeiten
HAUSWIRTSCHAFT: Wäscherei
SONSTIGE LEISTUNGEN: Gastronomie, Logistische Leistungen, 
Qualitätssicherung (Produktkontrolle für externe F",,,,
Unknown,"Auftragsarbeiten:
METALL: Umformen (z. B. Pressen, Biegen), Trennen (z. B. Sägen, Stanzen, Gleitschleifen), CNC-Bearbeitung (z. B. 
CNC-Drehen, CNC-Fräsen), Fügen, Laserbeschriften
MONTAGEARBEITEN: Montieren, Bestücken, Zählen, Etikettieren, Kuvertieren, Kommissionieren
BAUGRUPPENFERTIGUNG: Montage von Baugruppen, Stanzen, Pressen, Etikettieren, Kommissionieren
KARTONAGE: Konfektionieren, Kleben, Leimen, Trennen, Falzen, Sortieren
MAILING UND VERSANDARBEITEN
GARTEN-/LANDSCHAFTSPFLEGE: Garten- un",http://www.lebenshilfe-wiesloch.de,info@lebenshilfe-wiesloch.de,,
Unknown,,https://www.nfp-wfbm.de/,nfp@sphv.de,,
Unknown,"Auftragsarbeiten:
HOLZ: Holzbearbeitung, Insektenhotels, Kartoffelkisten, Holzbrettchen, Krippen 
usw.
DRUCK/GRAFIK: Visitenkarten, Fotokopieren, Grußkarten
MONTAGE- und VERPACKUNGSARBEITEN
HAUSWIRTSCHAFT: private und gewerbliche Wäschedienstleistungen
GARTEN-/ LANDSCHAFTSPFLEGE: Gartendienstleistungen
Produkte:
SONSTIGE PRODUKTE: Filztaschen, Brotbeutel, Demenzdecken, 
HandytaschenWeitere Betriebsstätten:
Außenstelle:
Kurpfalzstraße 1
69469 Weinheim Lützelsachsen
Telefon: 06201 259398 0
Telefax",,verwaltung.caritaswerkstatt@caritas-,,
Unknown,,https://caritas-rhein-neckar.de/caritaswerkstatt-weinheim,k.hartmann@caritas-rhein-neckar.de,,
Unknown,"Auftragsarbeiten:
METALL: Metallmontage
DRUCK/GRAFIK: Druckweiterverarbeitung, Fotokopieren
MAILING UND VERSANDARBEITEN
VERPACKUNGSARBEITEN
HAUSWIRTSCHAFT: Catering, Casino, Großküche, Wäscherei, Reinigungsarbeiten, Cafébetrieb
GARTEN-/ LANDSCHAFTSPFLEGE: Garten- und Pflanzenpflege, Landschaftspflege
MANUFAKTURBEREICH: Schreinerei, Lederwerkstatt, Siebdruckwerkstatt
SONSTIGE LEISTUNGEN: Logistische Leistungen, Tierhof",https://www.caritas-stuttgart.de/hilfe-beratung/arbeit-beschaeftigung/neckartalwerkstaetten/,info-ntw@caritas-stuttgart.de,,
Rehabilitationszentrum Rudolf-Sophien-Stift gGmbH,"Auftragsarbeiten:
METALL: CNC-Bearbeitung (Fräsen, Drehen), Metallbe- und -verarbeitung
ELEKTRO: Elektromontage, Kabelkonfektionierung
DRUCK/GRAFIK: Druckerei (Digitaldruck), Druckweiterverarbeitung
EDV-/BÜRODIENSTLEISTUNGEN: Daten- und Texterfassung, Digitale 
Archivierung (z. B. Scanning)
MAILING UND VERSANDARBEITEN
VERPACKUNGS- und KONFEKTIONIERUNGSARBEITEN
HAUSWIRTSCHAFT: Wäscherei, Näherei, Hausreinigung, Küche
GASTRONOMIE: Café, Restaurant, Catering
STADTPALAIS - Museum für Stuttgart: Besu",https://rudolfs.de/,wfbm_sekretariat@rrss.de,,
Unknown,,https://www.rrss.de,irmgard.ploessl@rrss.de,,
Unknown,"Auftragsarbeiten:
METALL: Umformen (z. B. Sicken, Biegen), Trennen (z. B. Drehen, Fräsen, 
Sägen, Bohren), CNC-Bearbeitung, Fügen (z. B. Punktschweißen, Nieten), 
Metallmontage
HOLZ: Holzbearbeitung, Holzmontage, Spielzeugherstellung, Zuschneiden, 
Schleifen, Sägen, Abschrägen, Leimen, Ölen, Montieren, Einbrennen von 
Logos und Schriftzügen
MONTAGEARBEITEN: Teil- und Komplettmontage, Gerätemontage, Fügen, 
Schrauben, Verstemmen, Disposition, Bestellung, Bauteiledisposition, 
Kommissionieren
EDV-",,,,
Unknown,,https://www.lebenshilfe-stuttgart.de,werkstaetten@lebenshilfe-stuttgart.de,,
bhz Stuttgart e. V.,"Auftragsarbeiten:
METALL: Trennen, Fügen, Metallmontage, Zerspanung
MONTAGE: einfache Montagearbeiten
KUNSTSTOFF: Kunststoffbearbeitung, Kunststoffmontage
ELEKTRO: Elektromontage, Kabelkonfektionierung
EDV-/BÜRODIENSTLEISTUNGEN (PC-Service & Lettershop): Einscannen / 
Digitalisieren ab 'A0' und damit zusammenhängende Kontrolltätigkeiten
MAILING UND VERSANDARBEITEN: Etikettieren, Kuvertieren, etc.
VERPACKUNGSARBEITEN
HAUSWIRTSCHAFT: Catering/Partyservice, Reinigungsarbeiten,
Vermietung u. Bewirts",,,,
Unknown,,https://www.bhz.de,info@bhz.de,,
Unknown,"Auftragsarbeiten:
METALL: Trennen (z. B. Bohren, Fräsen), Fügen, Metallbearbeitung,
HOLZ: Holzbearbeitung, Spielzeugherstellung, CNC Auftragsarbeiten
KUNSTSTOFF: Montage, Verpackung
TEXTIL/LEDER: Weberei
VERPACKUNGSARBEITEN: Industriemontage
MONTAGEARBEITEN: Industriemontage
HAUSWIRTSCHAFT: Reinigungsarbeiten (Gebäudereinigung der Musikschule 
Filderstadt)
GROSSKÜCHE: Interne Versorgung mit Mittagessen
GARTEN-/LANDSCHAFTSPFLEGE: Garten- und Landschaftsbau, Garten- und 
Pflanzenpflege, Landschaft",,,,
Unknown,,http://www.ksg-ev.eu,info@ksg-ev.eu,,
Unknown,"Auftragsarbeiten:
METALL: Umformen, Trennen (z. B. Fräsen), Fügen (z. B. Schweissen), 
Metallmontage
MONTAGEARBEITEN: von Kleinteilmontage bis Zusammenfügen von 
Baugruppen
HOLZ: Holzbearbeitung, Holzmontage, Kistenfertigung, Palettenherstellung
KUNSTSTOFF: Kunststoffmontage
ELEKTRO: Elektromontage, Kabelkonfektionierung
LACKIERARBEITEN/BESCHICHTUNGEN: Pulverbeschichtung
DRUCK/GRAFIK: Fotokopieren, Bedrucken von Gegenständen (Tampondruck)
EDV-/BÜRODIENSTLEISTUNGEN
MAILING UND VERSANDARBEITEN
VER",,,,
Unknown,,http://www.gww-netz.de,kontakt@gww-netz.de,,
Atrio Leonberg gGmbH,"Auftragsarbeiten:
METALL: Trennen (z. B. Fräsen, Bohren, Sägen), Fügen (z. B. Nieten)
KUNSTSTOFF: Kunststoffmontage
ELEKTRO: Elektromontage, Kabelkonfektionierung
VERPACKUNGS- und MONTAGEARBEITEN
SONSTIGE LEISTUNGEN: Gastronomie (Café B21), Kfz-Schilderstelle
Produkte:
SONSTIGE PRODUKTE: Kfz-Schilder; KunstprodukteWeitere Betriebsstätten:
Werkstatt Leonberg
Böblinger Straße 28
71229 Leonberg
Telefon: 07152 9752-12
Telefax: 07152 9752-11
Werkstatt Höfingen
Röntgenstraße 6
71229 Leonberg
Telefon:",,,,
Unknown,,https://www.atrio-leonberg.de,info@atrio-leonberg.de,,
Unknown,"Auftragsarbeiten:
KUNSTSTOFF: Kunststoffmontage
ELEKTRO: Elektromontage
MONTAGE: von einfachen Montierarbeiten bis hin zur kompletten Montage von 
Baugruppen
RECYCLING: Elektro-/Elektronik-Recycling, Kunststoff-Recycling, Metall-  
Recycling
DRUCK/GRAFIK: Bedrucken von Gegenständen
EDV-/BÜRODIENSTLEISTUNGEN
VERPACKUNGSARBEITEN
HAUSWIRTSCHAFT: Wäscherei
GARTEN-/LANDSCHAFTSPFLEGE
SONSTIGE LEISTUNGEN: Gastronomie (Café Entrée im Gesundheitszentrum 
Schorndorf), Logistische Leistungen, 'meinwerk'-Pr",,,,
Unknown,,https://remstal-werkstaetten.diakonie-stetten.de/startseite/,info@remstal-werkstaetten.de,,
Unknown,"Auftragsarbeiten:
METALL: Trennen (z. B. Sägerei), Metallmontage
KUNSTSTOFF: Kunststoffbearbeitung, Kunststoffmontage
ELEKTRO: Elektromontage, Kabelkonfektionierung
TEXTIL/LEDER: Näherei (Industrietextilien)
VERPACKUNGSARBEITEN: Verpackungsautomaten, manuelle Verpackung
SONSTIGE LEISTUNGEN: Korbflechterei, Stuhlgeflechte, 
Laserbeschriftungen, Ultraschallschweißen
Produkte:
TEXTIL-/LEDERWAREN: Taschen, Etuis, Mäppchen
BIOLAND-LEBENSMITTEL: Rindfleisch, Eier, Suppenhühner, Wurstdosen
KUNSTHANDWER",,,,
Unknown,,https://www.paulinenpflege.de/bkw,bkw@paulinenpflege.de,,
Theo-Lorch-Werkstätten gGmbH,"Auftragsarbeiten:
DIENSTLEISTUNGSGRUPPE GARTEN- UND LANDSCHAFTSPFLEGE
Garten- und Pflanzenpflege (z. B. Rasen mähen, Heckenschnitt, Grab-, 
Hydrokulturpflege - wird von uns nicht durchgeführt), Landschaftspflege (z. B. 
Pflege von Park- und Grünanlagen, Firmengeländen, Spiel- und Sportplätzen, 
Friedhöfe und Privatgärten), Strauch und Staudenpflanzungen inkl. Beratung.
DIENSTLEISTUNGSGRUPPE MALER
Maler- und Lackierarbeiten-, Instandsetzungs-, Tapezier- und 
Fußbodenverlegearbeiten. Außerdem Fass",,,,
Unknown,,http://www.theo-lorch-werkstaetten.de,info@theo-lorch-werkstaetten.de,,
Unknown,,,,,
Unknown,"Auftragsarbeiten:
LASERTECHNIK: Schneiden und Gravieren von Metall, Kunststoff, Holz und sonstigen Materialien
KUNSTSTOFF: Kunststoffmontage
ELEKTRO: Elektromontage, Kabelkonfektionierung
TEXTIL: Näherei
MAILING UND VERSANDARBEITEN
MONTAGE- UND VERPACKUNGSARBEITEN: Tankdeckel, Auslaufsysteme, Kabelhalterungen, 
Schaltschranksteckdosen, Elektrische Bauelemente, Montage Medizintechnik (Stethoskope, Laryngoskope, 
Zeckenpinzetten), Kommissionierung und Verpackung (Färbebeutel, Fixiersalz, Glasfarbe",https://www.habila.de,karl-heinz.dettling@habila.de,,
Unknown,"Auftragsarbeiten:
METALL: Fügen, Trennen, CNC-Bearbeitung (CNC-Drehen)
MONTAGEARBEITEN
TEXTIL: Näherei
RECYCLING: Demontagearbeiten
MAILING UND VERSANDARBEITEN
VERPACKUNGSARBEITEN
HAUSWIRTSCHAFT: Wäscherei (Bügelservice, Wäschelegerei)",http://www.neckarwerkstatt-sulz.de,info@neckarwerkstatt-sulz.de,,
Unknown,"Auftragsarbeiten:
MONTAGE: Montage von einfachen Baugruppen
VERPACKUNGSARBEITEN: Verpackungsarbeiten in PE-Beutel aller Art, 
Verpackungen mit Polyolefin Feinschrumpffolien, Konfektionieren von 
Kleinteilen
GARTEN-/LANDSCHAFTSPFLEGE: Garten- und Pflanzenpflege, 
Landschaftspflege
Produkte:
KUNSTHANDWERK: Kreativprodukte aus Ton und FilzWeitere Betriebsstätten:
Werkhaus Horb (Werkstatt für 
psychisch behinderte Menschen)
Saarstraße 2
72160 Horb
Telefon: 07451 557150
Telefax: 07451 557152
E-Mail:",,,,
Unknown,,http://www.bruderhausdiakonie.de,wfbm.fds-freudenstadt@bruderhausdiakonie.de,,
Unknown,"Auftragsarbeiten:
METALL: Trennen, Zerspanen wie Bohren, Drehen, Fräsen bis L=2200, Fügen, 
Metallmontage
HOLZ: Holzbearbeitung, Holzmontage, Kistenfertigung
KUNSTSTOFF: Kunststoffmontage, Kunststoffbearbeitung
ELEKTRO: Elektromontage, Kabelkonfektionierung, Löten, 
Schaltschrankmontagen
TEXTIL/LEDER: Näherei
MONTAGE: Ganze Aggregate/Maschinen/Baugruppen, Systemlieferant
RECYCLING: Demontage-Arbeiten
DRUCK/GRAFIK: Druckweiterverarbeitung
MAILING UND VERSANDARBEITEN
VERPACKUNGSARBEITEN, SORTIERAR",,,,
Unknown,,http://www.schwarzwaldwerkstatt.de,info@schwarzwaldwerkstatt.de,,
ZAW gGmbH,"Auftragsarbeiten:
METALL: Metallbearbeitung, Umformen, Trennen, CNC-Bearbeitung, Fügen, 
Metallmontage
HOLZ: Holzbearbeitung, Holzmontage
KUNSTSTOFF: Kunststoffbearbeitung, Kunststoffverarbeitung, 
Kunststoffmontage
ELEKTRO: Kabelkonfektionierung, Elektronikfertigung, THT-Bestückung, 
Zusammenbau von Elektronikprodukten, Elektromontage
REINRAUM: INDUSTRIEMONTAGE in HACCP-konformen Räumen
DRUCK/GRAFIK: Digitaldruck/Tampondruck, Druckweiterverarbeitung, 
Fotokopieren
MAILING UND VERSANDARBEITEN
VE",,,,
Unknown,,http://www.zaw-ggmbh.de,info@zaw-ggmbh.de,,
Unknown,"Auftragsarbeiten:
KARTONAGEN: Kartonmontage und Gefache
KUNSTSTOFF: Kunststoffmontage
DRUCK/GRAFIK: Satz/Layout
EDV-/BÜRODIENSTLEISTUNGEN
SORTIER-/KONTROLL- UND VERPACKUNGSARBEITEN
HAUSWIRTSCHAFT
GARTEN-/LANDSCHAFTSPFLEGE
DIENSTLEISTUNGEN",http://www.caritas-sigmaringen.de,wfb@caritas-sigmaringen.de,,
Mariaberger Werkstätten,"Auftragsarbeiten:
METALL: Trennen, Metallmontage
KUNSTSTOFF: Kunststoffmontage
ELEKTRO: Elektromontage
VERPACKUNGSARBEITEN: Kleinmontage, Konfektionieren
Produkte:
LEBENSMITTEL: Landwirtschaftliche Erzeugnisse, BioprodukteWeitere Betriebsstätten:
Betriebsstätte für psychisch 
behinderte Menschen:
Werkstatt am Neckar
Heinrich-Otto-Str. 20
73240 Wendlingen
Telefon: 07024 46953-0
Telefax: 07024 46953-99",,,,
